feature_set,classifier,run,number_of_features,train_accuracy,test_accuracy,fit_and_predict_seconds
Labeled simplets (all),KNN,7,111,0.8183908045977012,0.8191193569586978,1.42262601852417
Labeled simplets (all),Decision tree,7,111,0.8298850574712644,0.8365856124563975,0.010324239730834961
Unlabeled simplets,Logistic regression,7,272,0.5712643678160919,0.2372225873312775,0.13822436332702637
Unlabeled simplets,Linear SVM,7,272,0.5477011494252874,0.23830948890349324,0.08704686164855957
Unlabeled simplets,SVM,7,272,0.610919540229885,0.2534250037915171,5.211756229400635
Unlabeled simplets,KNN,7,272,0.8022988505747126,0.23431575754511905,1.56626558303833
Unlabeled simplets,Decision tree,7,272,0.8143678160919541,0.22086851018654263,0.06178784370422363
Shuffled-label simplets,Logistic regression,7,37,0.25632183908045975,0.18454577624993682,0.01967024803161621
Shuffled-label simplets,Linear SVM,7,37,0.25689655172413794,0.18540518679540974,0.022442340850830078
Shuffled-label simplets,SVM,7,37,0.2971264367816092,0.18601182953339063,1.654179573059082
Shuffled-label simplets,KNN,7,37,0.2695402298850575,0.19988878216470352,1.4576139450073242
Shuffled-label simplets,Decision tree,7,37,0.3,0.18214448207876244,0.009835004806518555
UniGCNII embeddings,Logistic regression,7,64,0.917816091954023,0.9119862494312724,0.08872580528259277
UniGCNII embeddings,Linear SVM,7,64,0.9206896551724137,0.9130731510034882,0.09551048278808594
UniGCNII embeddings,SVM,7,64,0.9132183908045977,0.9097618927253425,1.2258474826812744
UniGCNII embeddings,KNN,7,64,0.9982758620689656,0.9052879025327334,0.10470438003540039
UniGCNII embeddings,Decision tree,7,64,0.9982758620689656,0.8512461452909358,0.07880425453186035
Labeled simplets (12 dim),Logistic regression,8,88,0.8155172413793104,0.8118143673221778,0.016696929931640625
Labeled simplets (12 dim),Linear SVM,8,88,0.8155172413793104,0.8110307871189525,0.06564474105834961
Labeled simplets (12 dim),SVM,8,88,0.8149425287356322,0.8010211819422678,1.054401159286499
Labeled simplets (12 dim),KNN,8,88,0.8,0.8313785956220616,1.5662012100219727
Labeled simplets (12 dim),Decision tree,8,88,0.8155172413793104,0.8097669480814923,0.009718656539916992
Labeled simplets (all),Logistic regression,8,111,0.8385057471264368,0.8444972448308984,0.026370525360107422
Labeled simplets (all),Linear SVM,8,111,0.8385057471264368,0.8431575754511905,0.07639122009277344
Labeled simplets (all),SVM,8,111,0.8385057471264368,0.834032657600728,1.1684963703155518
Labeled simplets (all),KNN,8,111,0.8212643678160919,0.8182599464132249,1.5070767402648926
Labeled simplets (all),Decision tree,8,111,0.8385057471264368,0.8398968707345432,0.009333372116088867
Unlabeled simplets,Logistic regression,8,272,0.5591954022988506,0.23830948890349324,0.12253022193908691
Unlabeled simplets,Linear SVM,8,272,0.5373563218390804,0.23669177493554422,0.08593487739562988
Unlabeled simplets,SVM,8,272,0.6235632183908046,0.22003437642181892,5.160396099090576
Unlabeled simplets,KNN,8,272,0.8086206896551724,0.26098276123552905,1.6323082447052002
Unlabeled simplets,Decision tree,8,272,0.8132183908045977,0.22602497345938022,0.06028389930725098
Shuffled-label simplets,Logistic regression,8,37,0.2482758620689655,0.18133562509478793,0.01689910888671875
Shuffled-label simplets,Linear SVM,8,37,0.24942528735632183,0.1863909812446287,0.019287586212158203
Shuffled-label simplets,SVM,8,37,0.28160919540229884,0.1859107224103938,1.6107256412506104
Shuffled-label simplets,KNN,8,37,0.24655172413793103,0.23555431980183003,1.8735592365264893
Shuffled-label simplets,Decision tree,8,37,0.28793103448275864,0.18201809817501644,0.008443832397460938
UniGCNII embeddings,Logistic regression,8,64,0.9316091954022988,0.9115818209392852,0.06259393692016602
UniGCNII embeddings,Linear SVM,8,64,0.9356321839080459,0.912795106415247,0.07551956176757812
UniGCNII embeddings,SVM,8,64,0.9310344827586207,0.910823517516809,1.214808464050293
UniGCNII embeddings,KNN,8,64,0.9954022988505747,0.9052120721904858,0.10263609886169434
UniGCNII embeddings,Decision tree,8,64,0.9959770114942529,0.8730852838582478,0.08620452880859375
Labeled simplets (12 dim),Logistic regression,9,88,0.8091954022988506,0.8174763662099995,0.018465757369995117
Labeled simplets (12 dim),Linear SVM,9,88,0.8091954022988506,0.8174763662099995,0.04756975173950195
Labeled simplets (12 dim),SVM,9,88,0.8091954022988506,0.804509377685658,1.0588903427124023
Labeled simplets (12 dim),KNN,9,88,0.7896551724137931,0.7861331580809868,1.4565479755401611
Labeled simplets (12 dim),Decision tree,9,88,0.8091954022988506,0.8134320812901269,0.008231878280639648
Labeled simplets (all),Logistic regression,9,111,0.8333333333333334,0.8459127445528537,0.02954721450805664
Labeled simplets (all),Linear SVM,9,111,0.8333333333333334,0.841489307921743,0.05582237243652344
Labeled simplets (all),SVM,9,111,0.8333333333333334,0.8349678984884485,1.1747775077819824
Labeled simplets (all),KNN,9,111,0.8281609195402299,0.8196248925736818,1.563896894454956
Labeled simplets (all),Decision tree,9,111,0.8333333333333334,0.835650371568677,0.010579586029052734
Unlabeled simplets,Logistic regression,9,272,0.5545977011494253,0.22878014256104343,0.10033035278320312
Unlabeled simplets,Linear SVM,9,272,0.5281609195402299,0.2305747939942369,0.06464576721191406
Unlabeled simplets,SVM,9,272,0.6091954022988506,0.2524897629037966,5.272632598876953
Unlabeled simplets,KNN,9,272,0.8011494252873563,0.24220211313887063,1.5996060371398926
Unlabeled simplets,Decision tree,9,272,0.8201149425287356,0.23120671351296698,0.06260848045349121
Shuffled-label simplets,Logistic regression,9,37,0.24310344827586206,0.18684596329811434,0.021857023239135742
Shuffled-label simplets,Linear SVM,9,37,0.2454022988505747,0.18775592740508568,0.014886856079101562
Shuffled-label simplets,SVM,9,37,0.2908045977011494,0.18697234720186037,1.622709035873413
Shuffled-label simplets,KNN,9,37,0.22298850574712645,0.1295687781204186,1.837404489517212
Shuffled-label simplets,Decision tree,9,37,0.296551724137931,0.18029927708407056,0.008502483367919922
UniGCNII embeddings,Logistic regression,9,64,0.9132183908045977,0.9092816338911076,0.09322142601013184
UniGCNII embeddings,Linear SVM,9,64,0.9149425287356322,0.9103432586825742,0.10386967658996582
UniGCNII embeddings,SVM,9,64,0.9114942528735632,0.90920580354886,1.4347820281982422
UniGCNII embeddings,KNN,9,64,0.9982758620689656,0.8997270107679086,0.09840130805969238
UniGCNII embeddings,Decision tree,9,64,0.9982758620689656,0.8694707042111117,0.06826353073120117
Labeled simplets (12 dim),Logistic regression,10,88,0.7977011494252874,0.8179819018249835,0.03305363655090332
Labeled simplets (12 dim),Linear SVM,10,88,0.7977011494252874,0.8163641878570346,0.0984194278717041
Labeled simplets (12 dim),SVM,10,88,0.7977011494252874,0.8096911177392447,1.1221423149108887
Labeled simplets (12 dim),KNN,10,88,0.7942528735632184,0.787523381022193,1.5921123027801514
Labeled simplets (12 dim),Decision tree,10,88,0.7977011494252874,0.8162630807340377,0.008447408676147461
Labeled simplets (all),Logistic regression,10,111,0.828735632183908,0.8461655123603458,0.02397322654724121
Labeled simplets (all),Linear SVM,10,111,0.828735632183908,0.8432839593549366,0.09894752502441406
Labeled simplets (all),SVM,10,111,0.828735632183908,0.835776755472423,1.1705946922302246
Labeled simplets (all),KNN,10,111,0.8264367816091954,0.8199029371619231,1.5505590438842773
Labeled simplets (all),Decision tree,10,111,0.828735632183908,0.8427278701784541,0.010776281356811523
